Time (s), Voltage (V)
5.871516,-0.017107
5.881516,-0.012219
5.89152,-0.017107
5.901524,-0.012219
5.911524,-0.012219
5.921528,-0.017107
5.931532,-0.012219
5.94154,-0.021994
5.951544,-0.021994
5.961548,-0.017107
5.971548,-0.017107
5.981552,-0.017107
5.991552,-0.012219
6.001552,-0.021994
6.011556,-0.017107
6.021556,-0.017107
6.031556,-0.021994
6.04156,-0.021994
6.051564,-0.017107
6.061568,-0.017107
6.071572,-0.017107
6.081576,-0.012219
6.09158,-0.021994
6.10158,-0.007331
6.11158,-0.012219
6.121584,-0.012219
6.131584,-0.012219
6.141584,-0.021994
6.151592,-0.007331
6.161592,-0.012219
6.171592,-0.012219
6.181592,-0.007331
6.191592,-0.017107
6.201592,-0.017107
6.211592,-0.012219
6.221592,-0.012219
6.231592,-0.017107
6.241592,-0.012219
6.251592,-0.012219
6.261592,-0.012219
6.271592,-0.007331
6.281596,-0.012219
6.2916,-0.007331
6.301604,-0.007331
6.311604,-0.012219
6.321604,-0.012219
6.331608,-0.012219
6.341612,-0.012219
6.351616,-0.007331
6.36162,-0.012219
6.371624,-0.007331
6.381628,-0.002444
6.391632,-0.017107
6.40164,-0.012219
6.411644,-0.012219
6.421644,-0.017107
6.431648,-0.012219
6.441648,-0.017107
6.451652,-0.021994
6.461656,-0.007331
6.47166,-0.012219
6.48166,-0.017107
6.491664,-0.007331
6.501668,-0.012219
6.511676,-0.007331
6.521676,-0.002444
6.53168,-0.012219
6.541684,-0.012219
6.551688,-0.002444
6.561688,-0.012219
6.571692,-0.002444
6.581696,-0.007331
6.5917,-0.017107
6.6017,-0.007331
6.6117,-0.007331
6.6217,-0.012219
6.6317,-0.007331
6.6417,-0.012219
6.651704,-0.012219
6.661708,-0.007331
6.671712,-0.012219
6.681716,-0.012219
6.69172,-0.012219
6.701724,-0.012219
6.711728,-0.012219
6.721732,-0.007331
6.731732,-0.017107
6.741736,-0.012219
6.751736,-0.002444
6.76174,-0.012219
6.77174,-0.002444
6.78174,-0.012219
6.791744,-0.021994
6.801744,-0.007331
6.811744,-0.012219
6.821744,-0.002444
6.831744,-0.007331
6.841748,-0.012219
6.851752,-0.012219
6.861752,-0.007331
6.871756,-0.017107
6.881756,-0.012219
6.89176,-0.012219
6.901764,-0.012219
6.911764,-0.007331
6.921764,-0.012219
6.931764,-0.017107
6.941764,-0.007331
6.951772,-0.017107
6.961772,-0.012219
6.971776,-0.002444
6.98178,-0.017107
6.991784,-0.017107
7.001788,-0.007331
7.011792,-0.012219
7.0218,-0.012219
7.031804,-0.012219
7.041804,-0.021994
7.051804,-0.017107
7.061808,-0.012219
7.071808,-0.007331
7.081808,-0.012219
7.091812,-0.017107
7.101812,-0.012219
7.111816,-0.007331
7.121816,-0.012219
7.131816,-0.012219
7.141828,-0.012219
7.151828,-0.017107
7.161832,-0.007331
7.171836,-0.017107
7.18184,-0.012219
7.191844,-0.012219
7.201848,-0.012219
7.211852,-0.012219
7.221856,-0.002444
7.23186,-0.017107
7.24186,-0.017107
7.25186,-0.007331
7.261864,-0.012219
7.271872,-0.012219
7.281876,-0.012219
7.29188,-0.017107
7.30188,-0.012219
7.311888,-0.007331
7.321892,-0.012219
7.331896,-0.007331
7.3419,-0.012219
7.351904,-0.017107
7.361908,-0.007331
7.371912,-0.012219
7.381912,-0.012219
7.391912,-0.017107
7.401916,-0.017107
7.411916,-0.012219
7.42192,-0.017107
7.43192,-0.021994
7.44192,-0.012219
7.451924,-0.007331
7.461924,-0.012219
7.471928,-0.012219
7.481936,-0.012219
7.491936,-0.012219
7.50194,-0.002444
7.511944,-0.012219
7.521944,-0.012219
7.531944,-0.012219
7.541948,-0.012219
7.551952,-0.007331
7.561956,-0.007331
7.571956,-0.017107
7.58196,-0.012219
7.591964,-0.012219
7.601968,-0.012219
7.611972,-0.007331
7.621976,-0.007331
7.63198,-0.017107
7.641984,-0.012219
7.651988,-0.012219
7.661992,-0.012219
7.671992,0.002444
7.681992,-0.012219
7.691996,-0.012219
7.701996,0.002444
7.711996,-0.012219
7.722,-0.012219
7.732004,-0.007331
7.742012,-0.017107
7.752016,-0.007331
7.76202,-0.012219
7.772024,-0.021994
7.782024,-0.017107
7.792028,-0.017107
7.802028,-0.021994
7.812028,-0.017107
7.822036,-0.026882
7.83204,-0.017107
7.84204,-0.017107
7.852044,-0.017107
7.862048,-0.021994
7.872056,-0.012219
7.88206,-0.021994
7.89206,-0.017107
7.90206,-0.012219
7.91206,-0.017107
7.922064,-0.017107
7.932068,-0.017107
7.942072,-0.017107
7.952072,-0.007331
7.96208,-0.012219
7.97208,-0.012219
7.98208,-0.007331
7.99208,-0.012219
8.002084,-0.017107
8.012088,-0.007331
8.022089,-0.021994
8.032093,-0.007331
8.042097,-0.012219
8.052097,-0.017107
8.062101,-0.007331
8.0721,-0.017107
8.082104,-0.017107
8.092108,-0.012219
8.102112,-0.012219
8.112116,-0.007331
8.122117,-0.007331
8.132117,-0.017107
8.142121,-0.012219
8.15212,-0.007331
8.162129,-0.012219
8.172128,-0.012219
8.182128,-0.017107
8.192129,-0.017107
8.202133,-0.007331
8.212137,-0.012219
8.222145,-0.017107
8.232145,-0.007331
8.242149,-0.012219
8.252153,-0.012219
8.262152,-0.007331
8.272156,-0.017107
8.282156,-0.017107
8.292157,-0.007331
8.302161,-0.017107
8.312165,-0.012219
8.322173,-0.017107
8.332177,-0.017107
8.342181,-0.012219
8.352192,-0.012219
8.362193,-0.012219
8.372193,-0.012219
8.382192,-0.012219
8.392196,-0.017107
8.402196,-0.012219
8.4122,-0.007331
8.422201,-0.007331
8.432205,-0.002444
8.442205,-0.007331
8.452208,-0.012219
8.462208,-0.012219
8.472208,-0.021994
8.482216,-0.012219
8.492217,-0.017107
8.502221,-0.012219
8.512225,-0.012219
8.522229,-0.012219
8.532233,-0.017107
8.542237,-0.007331
8.552241,-0.012219
8.562249,-0.012219
8.572249,-0.007331
8.582248,-0.017107
8.592248,-0.012219
8.602249,-0.007331
8.612253,-0.007331
8.622253,-0.012219
8.632256,-0.012219
8.64226,-0.017107
8.65226,-0.007331
8.662264,-0.017107
8.672268,-0.017107
8.682276,-0.012219
8.692276,-0.012219
8.70228,-0.017107
8.712281,-0.007331
8.722285,-0.017107
8.732284,-0.017107
8.742284,-0.007331
8.752288,-0.012219
8.762292,-0.002444
8.772293,-0.017107
8.782293,-0.017107
8.792292,-0.017107
8.802296,-0.012219
8.812296,-0.012219
8.8223,-0.012219
8.832304,-0.017107
8.842305,-0.017107
8.852305,-0.012219
8.862304,-0.002444
8.872308,-0.017107
8.882312,-0.012219
8.89232,-0.017107
8.902324,-0.017107
8.912328,-0.007331
8.922332,-0.021994
8.932332,-0.012219
8.942333,-0.012219
8.952332,-0.012219
8.962336,-0.007331
8.972336,-0.012219
8.98234,-0.012219
8.992344,-0.012219
9.002348,-0.012219
9.012349,-0.007331
9.022349,-0.012219
9.032353,-0.021994
9.042352,-0.017107
9.052356,-0.002444
9.062356,-0.017107
9.07236,-0.017107
9.082361,-0.012219
9.092365,-0.017107
9.102369,-0.007331
9.112373,-0.017107
9.122372,-0.021994
9.132372,-0.012219
9.142376,-0.012219
9.15238,-0.012219
9.162384,-0.007331
9.172385,-0.021994
9.182389,-0.017107
9.192388,-0.012219
9.202397,-0.012219
9.212401,-0.012219
9.222409,-0.017107
9.232408,-0.017107
9.242408,-0.012219
9.252408,-0.012219
9.262409,-0.012219
9.272408,-0.002444
9.282408,-0.012219
9.292416,-0.017107
9.30242,-0.012219
9.312424,-0.012219
9.322424,-0.017107
9.332425,-0.017107
9.342429,-0.017107
9.352433,-0.012219
9.362432,-0.012219
9.372436,-0.021994
9.38244,-0.002444
9.392444,-0.012219
