Time (s), Voltage (V)
4.08104,-0.056207
4.09104,-0.031769
4.101044,0.041544
4.111048,-0.09042
4.121048,-0.075758
4.131048,-0.114858
4.141048,-0.134409
4.151052,-0.105083
4.161052,-0.144184
4.171052,0.061095
4.181056,-0.09042
4.19106,-0.114858
4.20106,-0.012219
4.211068,-0.065982
4.221068,-0.07087
4.231068,-0.085533
4.241068,-0.114858
4.251072,0.075758
4.261076,-0.09042
4.271076,-0.07087
4.281076,-0.036657
4.29108,-0.124633
4.301084,-0.002444
4.311084,-0.046432
4.321084,-0.046432
4.331084,-0.002444
4.341084,-0.124633
4.351088,0.021994
4.361088,-0.197947
4.371092,-0.05132
4.381092,-0.061095
4.391096,-0.144184
4.401096,-0.021994
4.411104,-0.061095
4.421108,-0.163734
4.431108,-0.05132
4.441108,-0.085533
4.451108,0.041544
4.461108,-0.026882
4.471112,-0.046432
4.481112,-0.031769
4.491112,-0.109971
4.501116,0.031769
4.511116,-0.09042
4.52112,-0.007331
4.531124,-0.065982
4.541128,-0.080645
4.551136,-0.002444
4.561136,-0.002444
4.571136,0.012219
4.58114,-0.026882
4.591144,-0.021994
4.601148,0.036657
4.611148,-0.05132
4.621152,0.095308
4.63116,0.124633
4.641164,-0.041544
4.651168,0.041544
4.661172,0.080645
4.671176,0.046432
4.68118,-0.021994
4.69118,0.109971
4.701188,0.129521
4.711192,-0.05132
4.721196,0.056207
4.731196,-0.017107
4.741196,0.002444
4.7512,0.05132
4.761204,0.046432
4.771204,0.109971
4.781204,0.065982
4.791208,0.056207
4.801212,0.149071
4.811216,-0.021994
4.82122,0.021994
4.83122,-0.012219
4.841224,-0.07087
4.851228,0.041544
4.861232,-0.05132
4.871232,0.075758
4.881232,0.05132
4.891236,-0.007331
4.90124,-0.012219
4.911244,0.002444
4.921248,0.119746
4.931252,0.041544
4.94126,-0.05132
4.951268,0.158847
4.961276,-0.017107
4.97128,0.007331
4.981284,0.065982
4.991284,-0.026882
5.001288,0.09042
5.011292,-0.075758
5.021296,0.075758
5.031296,0.056207
5.041304,-0.017107
5.051304,-0.017107
5.061304,-0.21261
5.071308,-0.364125
5.081308,-0.427664
5.091316,-0.696481
5.10132,-0.608504
5.11132,-0.569404
5.121324,-0.642717
5.131332,-0.535191
5.141332,-0.500977
5.151336,-0.246823
5.161336,-0.241935
5.171344,-0.251711
5.181344,-0.153959
5.191348,-0.158847
5.201352,-0.041544
5.211356,-0.041544
5.22136,0.017107
5.231364,-0.002444
5.241368,-0.046432
5.251368,0.075758
